saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
71,1747308657533073829,1747308657668197829,135.124,518.218,32.938343,4562.934,7537.0806
72,1747308657793321829,1747308657823331829,30.009999999999998,96.70774,6.1101885,3995.8088,4813.4756
73,1747308658023569829,1747308658138568829,114.999,55.863163,3.5547116,1174.1486,1495.9368
74,1747308658228692829,1747308658478943829,250.25099999999998,390.258,24.827135,2322.8455,5265.959
75,1747308658709199829,1747308658734204829,25.005,36.126102,2.2652938,1649.1644,1835.9565
76,1747308658839313829,1747308658874312829,34.998999999999995,78.82175,5.0107484,2154.8452,2813.6965
77,1747308659034436829,1747308659114561829,80.125,504.34473,32.134197,6705.3506,11198.87
78,1747308659304684829,1747308659339684829,35.0,114.2561,7.245667,3152.7976,4312.459
79,1747308659720072829,1747308659780180829,60.108,266.5539,16.877874,4453.84,7787.041
80,1747308659935304829,1747308660030428829,95.124,549.064,34.63877,6320.0283,9486.564
81,1747308660175552829,1747308660230552829,55.0,237.60567,15.118869,4203.209,9144.254
82,1747308660450800829,1747308660590924829,140.124,204.46387,12.63357,2987.2402,7803.4673
83,1747308660686048829,1747308660751061829,65.01299999999999,239.71292,14.999851,3669.9,7461.3926
84,1747308660936171829,1747308661021295829,85.124,320.484,20.368517,4181.2944,8422.384
85,1747308661321543829,1747308661376667829,55.123999999999995,33.98664,2.1713185,1388.9863,2008.4764
86,1747308662888032829,1747308662918033829,30.000999999999998,72.32356,4.6124115,2359.3628,2932.908
87,1747308663098278829,1747308663133278829,35.0,80.937004,5.159413,2351.0625,3109.101
88,1747308663293409829,1747308663418526829,125.11699999999999,415.78183,26.568949,3893.9082,6478.8945
89,1747308663643774829,1747308663663774829,20.0,43.266857,2.6957703,2300.3208,2821.5083
90,1747308663894022829,1747308664029147829,135.125,480.66132,30.364868,4534.6465,8481.405
91,1747308664174270829,1747308664204270829,30.0,72.845375,4.651518,2120.8198,2578.826
92,1747308664474517829,1747308664519517829,45.0,137.86923,8.808314,3334.107,5350.3745
93,1747308664624641829,1747308664679653829,55.012,211.49397,13.499524,4047.452,6974.3394
94,1747308665070013829,1747308665090141829,20.128,26.648476,1.7017546,1270.7915,1411.0095
95,1747308665460384829,1747308665485520829,25.136,30.909246,1.974845,1454.781,1863.2562
96,1747308665995880829,1747308666031005829,35.125,53.36615,3.4012587,1757.0063,2232.1619
97,1747308666206129829,1747308666286253829,80.124,362.41913,23.09343,5259.1406,7690.011
98,1747308666391252829,1747308666461376829,70.124,49.840782,3.127545,3973.0627,6840.4736
99,1747308666566501829,1747308666666500829,99.999,468.2784,30.235397,4754.236,9534.779
100,1747308666756625829,1747308666791627829,35.001999999999995,94.220245,6.2532077,3420.1575,5114.421
101,1747308666921748829,1747308666956876829,35.128,49.12753,2.847438,1565.9299,2337.37
102,1747308667176996829,1747308667392244829,215.248,934.54724,59.49031,6154.753,10071.927
103,1747308667607367829,1747308667682492829,75.125,48.63657,3.0957987,2855.1165,4230.192
104,1747308667782616829,1747308667907740829,125.124,54.886154,3.5057561,4497.527,8867.956
105,1747308668157867829,1747308668217987829,60.12,269.73193,17.177464,4052.6084,6575.2275
106,1747308668393111829,1747308668458235829,65.124,326.62616,20.821466,4375.3203,7960.798
107,1747308668658359829,1747308668693483829,35.123999999999995,68.71254,4.391757,1930.7721,2607.0574
108,1747308669148855829,1747308669218854829,69.999,23.403015,1.4927626,1736.1393,3657.0876
109,1747308669369103829,1747308669479102829,109.999,17.644615,1.1236328,2171.2783,4148.528
110,1747308669894599829,1747308669969598829,74.999,346.15887,22.094482,4670.3423,7051.3516
111,1747308670284846829,1747308670409970829,125.124,79.125565,5.039971,2287.6362,3669.8364
112,1747308670800341829,1747308670955465829,155.124,22.692493,1.4446554,2366.9973,4365.865
113,1747308671330848829,1747308671385962829,55.114,216.67952,13.824185,3933.3333,6652.814
114,1747308671656210829,1747308671756209829,99.999,14.609654,0.9315764,1271.5468,1758.1981
115,1747308671936457829,1747308671966457829,30.0,32.477566,2.0702798,1141.0352,1331.4116
116,1747308672261705829,1747308672281712829,20.006999999999998,19.909544,1.2680193,1006.92194,1301.3551
117,1747308672942325829,1747308672967336829,25.011,23.357769,1.4896315,988.7079,1164.0702
118,1747308674038449829,1747308674073440829,34.991,68.47717,4.364624,2005.6229,2789.739
119,1747308674318704829,1747308674358688829,39.983999999999995,67.95738,4.3442607,2027.5438,2656.846
120,1747308674588949829,1747308674714060829,125.11099999999999,48.01819,3.0683846,1709.5283,3465.5007
121,1747308675614803829,1747308675719927829,105.124,545.6572,34.75248,5439.814,9268.69
122,1747308675925186829,1747308675960191829,35.004999999999995,56.72798,3.5378497,1974.1641,2393.0786
123,1747308676095299829,1747308676150298829,54.998999999999995,208.26869,13.273522,3579.891,5149.499
124,1747308676270425829,1747308676325552829,55.126999999999995,191.51851,12.199639,3755.8157,6232.0317
125,1747308676610803829,1747308676635795829,24.991999999999997,21.722012,1.3860152,1217.4506,1419.058
126,1747308676785918829,1747308676841043829,55.125,242.75449,15.483981,4673.1333,7242.899
127,1747308676941042829,1747308676986166829,45.123999999999995,220.34053,14.045249,4315.9385,6676.9585
128,1747308677126295829,1747308677156290829,29.994999999999997,65.51822,4.1693063,1948.8186,2590.6172
129,1747308677306414829,1747308677376538829,70.124,338.23804,21.522055,5656.244,8636.864
130,1747308677736785829,1747308677771797829,35.012,66.764626,4.265478,1964.1528,2536.4978
131,1747308677992033829,1747308678092158829,100.125,28.612606,1.8277459,1759.2074,2526.8938
132,1747308678232281829,1747308678387405829,155.124,29.925259,1.9103944,5551.1055,14762.084
133,1747308678907901829,1747308678942901829,35.0,53.18125,3.397787,1557.548,2044.2148
134,1747308679153149829,1747308679198160829,45.010999999999996,140.39565,8.969166,3135.0854,4392.3125
135,1747308679603523829,1747308679648645829,45.122,145.20476,9.278144,3238.4402,5042.8545
136,1747308680544387829,1747308680579512829,35.125,41.474216,2.6503036,1286.3804,1670.1875
137,1747308681785628829,1747308681815627829,29.999,40.510307,2.587094,1303.4054,1479.32
138,1747308681980751829,1747308682010751829,30.0,43.067795,2.7511616,1508.4701,1886.9391
139,1747308682180999829,1747308682260998829,79.999,393.43323,25.073017,4813.056,7446.3975
140,1747308682426122829,1747308682501247829,75.125,351.7269,22.38081,4708.7,7754.3926
141,1747308682711495829,1747308682746495829,35.0,81.80356,5.2264943,2299.1765,3114.5444
142,1747308683361990829,1747308683562238829,200.248,118.76988,7.592757,2765.5696,6677.6787
143,1747308683677362829,1747308683712362829,35.0,81.01622,5.1772776,2440.1448,3222.9375
144,1747308684162733829,1747308684202858829,40.125,69.69646,4.454152,1909.1864,2626.4268
145,1747308684718354829,1747308684758356829,40.001999999999995,104.879616,6.7005534,2800.5435,3839.2097
146,1747308685579096829,1747308685619096829,40.0,93.73667,5.99117,2774.5007,3832.736
147,1747308685899356829,1747308685934469829,35.113,75.13889,4.8030696,2263.166,2981.2014
148,1747308686414842829,1747308686444965829,30.122999999999998,41.771416,2.6701806,1494.2709,1843.5254
149,1747308686625088829,1747308686655088829,30.0,37.187603,2.3762565,1340.6619,1638.4263
150,1747308686930336829,1747308686965335829,34.998999999999995,92.379776,5.9034753,2782.3828,3703.9397
151,1747308687721079829,1747308687766079829,45.0,129.88747,8.298715,2732.4353,4057.881
152,1747308687911327829,1747308687961327829,50.0,176.78311,11.293963,3763.1548,6187.079
153,1747308688126451829,1747308688186575829,60.123999999999995,283.3446,18.070778,4669.094,7456.7095
154,1747308688411698829,1747308688466823829,55.125,300.4934,19.171595,5085.9546,8173.1343
155,1747308689958186829,1747308689983186829,25.0,30.378874,1.9399956,1208.3418,1438.368
156,1747308692030044829,1747308692045169829,15.125,14.234242,0.90900743,923.0724,974.35925
157,1747308693891779829,1747308693976903829,85.124,368.71216,23.475855,4464.936,6935.258
158,1747308694152026829,1747308694227151829,75.125,398.56815,25.407269,5080.4517,8677.323
159,1747308695128018829,1747308695153018829,25.0,32.224453,2.0580237,1331.8737,1574.3431
160,1747308695828638829,1747308695868637829,39.998999999999995,94.75295,6.0511312,2385.8694,3451.501
161,1747308696058886829,1747308696103885829,44.998999999999995,136.53264,8.701107,3007.2937,4676.818
162,1747308696264009829,1747308696309142829,45.132999999999996,153.58714,9.772707,3444.8994,5436.2607
163,1747308696884629829,1747308696929629829,45.0,185.73093,11.813534,4188.201,6597.6885
164,1747308697400125829,1747308697440135829,40.01,109.59062,6.9912577,2746.7534,3734.8884
165,1747308699181735829,1747308699221743829,40.007999999999996,135.11058,8.613866,3494.1995,5093.6895
166,1747308699346859829,1747308699406986829,60.126999999999995,263.4009,16.763197,4841.5537,7844.959
167,1747308699567112829,1747308699612106829,44.994,149.04369,9.49865,3457.9282,5268.081
168,1747308699782355829,1747308699807355829,25.0,30.139952,1.9244153,1293.2754,1590.0808
169,1747308700482974829,1747308700542974829,60.0,190.09758,12.133433,3037.7622,5563.341
170,1747308700643098829,1747308700743229829,100.131,85.42722,5.419767,2434.695,3330.7449
171,1747308700888359829,1747308700923346829,34.987,107.72072,6.8723984,2501.5464,3157.7107
172,1747308701243718829,1747308701338718829,95.0,256.8147,16.295246,3738.7117,6750.7676
173,1747308701598965829,1747308701654090829,55.125,157.28284,10.031895,2761.8635,5201.9595
174,1747308701844213829,1747308701884213829,40.0,147.21954,9.384472,3589.7383,5125.212
175,1747308702119461829,1747308702169463829,50.001999999999995,126.17741,8.045739,2725.0496,4190.619
176,1747308702304584829,1747308702344709829,40.125,72.23162,4.6037173,2052.618,2713.5986
177,1747308702644956829,1747308702795080829,150.124,280.89377,17.919956,3929.4395,8198.885
178,1747308702940204829,1747308702980216829,40.012,96.7555,6.139862,2388.8833,3762.8877
179,1747308703415700829,1747308703445703829,30.003,59.060066,3.7721465,1930.0107,2593.7598
180,1747308703936196829,1747308703971195829,34.998999999999995,58.138363,3.708882,1629.6042,2370.2761
181,1747308704311568829,1747308704331567829,19.999,19.644897,1.2543985,969.3241,1167.7822
182,1747308704841938829,1747308704867063829,25.125,32.470917,2.0750277,1323.6792,1548.4666
183,1747308705377559829,1747308705397568829,20.009,18.421597,1.176123,924.3202,1050.5245
184,1747308706693673829,1747308706763797829,70.124,309.41205,19.659224,4958.046,7281.751
185,1747308707264293829,1747308707464417829,200.124,482.16998,30.427406,3792.7976,7296.9077
186,1747308707614540829,1747308707659665829,45.125,186.42746,11.39295,4293.9556,6205.176
187,1747308707874788829,1747308707899794829,25.006,29.20831,1.7993418,1274.0767,1429.7444
188,1747308708160050829,1747308708270160829,110.11,551.92633,35.083164,5322.3467,8143.698
189,1747308708435284829,1747308708470408829,35.123999999999995,55.42997,3.5250144,1887.8807,2533.0974
190,1747308708900780829,1747308708935779829,34.998999999999995,54.313644,3.4714007,1621.0604,1995.8751
191,1747308709065903829,1747308709095903829,30.0,40.183716,2.5677228,1469.2744,1840.3651
192,1747308709311151829,1747308709346154829,35.003,82.77993,5.287459,2308.2976,3273.4163
193,1747308709696523829,1747308709746526829,50.003,147.39326,9.394874,3081.424,5020.0054
194,1747308709951779829,1747308709991771829,39.992,139.18076,8.874405,3607.3435,5193.9937
195,1747308710617390829,1747308710652390829,35.0,55.038715,3.5119538,1525.434,2055.722
196,1747308710948388829,1747308710983499829,35.111,60.58254,3.8679461,1791.7797,2437.2844
197,1747308711178627829,1747308711258750829,80.12299999999999,121.28489,7.7196293,1848.9331,2807.319
198,1747308711714126829,1747308711774124829,59.998,201.12851,12.789625,3835.5256,6031.6997
199,1747308712104499829,1747308712134499829,30.0,38.974968,2.4837964,1549.03,1864.6886
200,1747308713070373829,1747308713105373829,35.0,71.627205,4.565796,2057.9446,2765.857
201,1747308713635884829,1747308713680998829,45.114,77.4076,4.9442167,1800.6107,2792.9897
202,1747308714176384829,1747308714231498829,55.114,109.96121,7.0081944,2303.8098,3425.3047
203,1747308714511748829,1747308714606873829,95.125,379.67892,24.138327,3687.676,6408.446
204,1747308714747008829,1747308714766998829,19.99,19.190554,1.2032313,993.32184,1052.8447
205,1747308714952123829,1747308714992248829,40.125,90.60855,5.7527914,2122.3005,3295.4211
206,1747308715412623829,1747308715522748829,110.125,532.7146,33.73075,5937.423,8430.176
207,1747308715642748829,1747308715677873829,35.125,114.9543,7.310086,4428.058,5971.793
208,1747308716368498829,1747308716393498829,25.0,30.036066,1.9053215,1801.8008,1917.1044
209,1747308717474498829,1747308717499511829,25.012999999999998,36.04097,2.299079,1364.2208,1604.4026
210,1747308717604623829,1747308717644623829,40.0,138.99474,8.82722,3364.5947,4824.3135
211,1747308717904872829,1747308717949998829,45.126,130.67996,8.33638,2846.9731,4289.8975
212,1747308719231122829,1747308719276247829,45.125,132.78099,8.473342,3094.2346,4830.2827
213,1747308719491372829,1747308719516384829,25.012,32.00255,2.0437913,1466.8761,1691.4144
214,1747308720612497829,1747308720652497829,40.0,109.51967,6.9625807,2559.971,3963.424
215,1747308720772622829,1747308720807622829,35.0,80.44799,5.084029,2349.091,3000.1458
216,1747308721047872829,1747308721067872829,20.0,24.06564,1.5255054,1199.5465,1439.9984
217,1747308721207997829,1747308721253122829,45.125,123.13564,7.8585186,2572.9336,4077.188
218,1747308721463250829,1747308721503260829,40.01,140.80208,8.976888,3437.461,4871.399
219,1747308721618384829,1747308721653496829,35.112,53.72901,3.4038007,1626.1178,2118.4338
220,1747308722849496829,1747308722904621829,55.125,122.47823,7.7449217,2713.7014,4715.5933
221,1747308723079746829,1747308723184871829,105.125,304.16544,19.413994,3210.2864,6300.02
222,1747308723415124829,1747308723455121829,39.997,68.93159,4.397293,2070.1792,2745.205
223,1747308723615246829,1747308723695371829,80.125,236.17519,15.049971,3444.1897,5827.6357
224,1747308724075746829,1747308724125746829,50.0,176.05815,11.168774,3778.4353,6067.6724
225,1747308724410996829,1747308724521121829,110.125,600.70636,38.224842,5859.1772,8586.658
226,1747308724686246829,1747308724751371829,65.125,128.39984,8.182704,3127.223,5944.187
227,1747308724971496829,1747308725006621829,35.125,76.17434,4.8191724,2471.016,3583.506
228,1747308725311871829,1747308725411995829,100.124,469.59418,29.016394,6139.3105,7915.446
229,1747308725537121829,1747308725712245829,175.124,877.7433,55.493404,6829.784,9870.471
230,1747308725907386829,1747308725942495829,35.109,130.85089,8.3234625,3087.5205,4247.7417
231,1747308726122620829,1747308726157620829,35.0,92.492485,5.9000635,2807.7366,3563.5115
232,1747308726978370829,1747308727013501829,35.131,46.689438,2.9709523,1690.4298,2199.3577
233,1747308727253626829,1747308727338745829,85.119,493.4061,31.267548,6429.1895,10173.312
234,1747308727513870829,1747308727553998829,40.128,85.02692,5.398146,2272.6387,3266.4062
235,1747308727859245829,1747308727894256829,35.010999999999996,75.005905,4.767634,1997.7604,3009.3125
236,1747308728124500829,1747308728154508829,30.008,82.43283,5.2221575,2300.3909,3299.59
237,1747308728835121829,1747308728855244829,20.122999999999998,19.863836,1.260743,1079.1787,1326.5214
238,1747308729090370829,1747308729225494829,135.124,49.668728,3.148564,2034.3569,3945.7256
239,1747308729625869829,1747308730186494829,560.625,69.95868,4.3939166,2669.5713,7999.1523
240,1747308730436619829,1747308730471744829,35.125,53.23375,3.392289,1511.3148,1782.7839
241,1747308730581744829,1747308730616869829,35.125,69.2096,4.399622,2031.1661,2825.3855
242,1747308731077248829,1747308731112244829,34.995999999999995,87.23127,5.485112,2170.4226,3735.4832
243,1747308731232369829,1747308731272494829,40.125,114.02272,7.087502,2906.6719,4118.321
244,1747308731562744829,1747308731612744829,50.0,156.44992,9.896422,3009.1128,4968.7246
245,1747308731702869829,1747308731732869829,30.0,41.155518,2.6020815,1295.2032,1706.1514
246,1747308731963119829,1747308731988122829,25.003,27.937542,1.7811182,1168.571,1382.3365
247,1747308732198382829,1747308732218370829,19.988,21.821815,1.3850256,994.8152,1149.9574
248,1747308732833869829,1747308732938993829,105.124,97.36187,6.2087383,1471.6808,2409.2646
249,1747308733084118829,1747308733104118829,20.0,31.505186,1.9859428,1390.2559,1640.8131
250,1747308733549618829,1747308733584618829,35.0,84.0195,5.3015523,2411.5522,3088.4128
251,1747308734060118829,1747308734115118829,55.0,125.2823,7.992321,2310.3333,3992.734
252,1747308734715619829,1747308734790743829,75.124,100.45418,6.4117947,1502.2203,2329.1123
253,1747308735286243829,1747308735306243829,20.0,17.244637,1.0980304,892.9934,1037.0883
254,1747308735676617829,1747308735711618829,35.001,81.11805,5.132079,2328.2383,3069.5605
255,1747308735841742829,1747308735891743829,50.001,181.06651,11.483152,3520.7925,6062.6807
256,1747308736176992829,1747308736237117829,60.125,241.16725,15.286258,3390.1484,7628.6274
257,1747308736792617829,1747308736827617829,35.0,63.18725,4.010775,1602.0554,2365.617
258,1747308737247992829,1747308737268117829,20.125,24.11173,1.5273402,1198.2615,1338.7644
259,1747308737663379829,1747308737688509829,25.13,32.217316,2.01369,1162.9727,1340.303
260,1747308737963742829,1747308738158867829,195.125,33.985634,2.1379046,1226.2013,1743.8525
261,1747308738579242829,1747308738609366829,30.124,36.487385,2.317122,1228.1803,1561.0009
262,1747308739435116829,1747308739480116829,45.0,150.31332,9.579859,3332.1152,4729.129
263,1747308740646241829,1747308740701241829,55.0,138.0306,8.808509,2771.9807,4568.9033
264,1747308740901491829,1747308740921491829,20.0,19.607605,1.244674,1004.2941,1188.7599
265,1747308741647115829,1747308741682240829,35.125,43.74383,2.7676487,1298.022,1622.3757
266,1747308742267740829,1747308742302740829,35.0,63.83083,4.056525,1893.1755,2571.9507
267,1747308742527990829,1747308742568000829,40.01,61.937634,3.9401138,1620.6406,2253.2954
268,1747308742888365829,1747308742923365829,35.0,48.09186,3.0681052,1388.5417,1825.3102
269,1747308743859239829,1747308744139490829,280.251,15.412139,0.9784509,2326.9536,6810.842
270,1747308746071364829,1747308746111364829,40.0,39.955845,2.5415075,1186.1777,1499.9174
271,1747308746721866829,1747308746751989829,30.122999999999998,47.8947,3.0529642,1611.4612,2025.16
272,1747308747862988829,1747308747897988829,35.0,48.44969,3.0864365,1387.5536,1796.3262
273,1747308748433488829,1747308748468613829,35.125,60.14177,3.8328576,1718.2416,2217.752
274,1747308749349363829,1747308749384362829,34.998999999999995,52.21758,3.3284943,1504.1443,2128.705
275,1747308750125112829,1747308750160112829,35.0,59.51199,3.7922947,1704.5399,2183.357
276,1747308750645615829,1747308750680616829,35.001,52.790344,3.3671954,1510.8616,2060.873
277,1747308751271237829,1747308751301237829,30.0,50.14542,3.1937125,1538.1562,2142.174
278,1747308751856737829,1747308751886737829,30.0,43.34016,2.7645924,1444.8953,1926.616
279,1747308752202111829,1747308752227111829,25.0,27.5396,1.7561486,1094.9476,1239.3558
280,1747308752632486829,1747308752667488829,35.001999999999995,41.097057,2.6253707,1205.564,1440.5298
281,1747308753172986829,1747308753207986829,35.0,56.284782,3.5941148,1623.6863,2083.1023
282,1747308754088860829,1747308754113861829,25.000999999999998,29.765415,1.8953199,1212.5818,1406.6595
283,1747308754824487829,1747308754849485829,24.997999999999998,25.725351,1.6444811,1002.04675,1279.5754
284,1747308755575235829,1747308755595235829,20.0,21.845222,1.3918096,1037.8066,1134.0306
285,1747308756445984829,1747308756466109829,20.125,19.249758,1.2270432,934.37854,1107.5103
286,1747308758032496829,1747308758277734829,245.238,36.364586,2.3172765,4476.987,9219.266
287,1747308758532984829,1747308758562983829,29.999,42.539818,2.7078986,1361.673,1710.5938
288,1747308758798234829,1747308758848233829,49.998999999999995,156.72272,10.013984,3151.402,4693.1714
289,1747308759143608829,1747308759193611829,50.003,180.7036,11.547995,3149.5884,6208.397
290,1747308759598983829,1747308759664108829,65.125,119.34063,7.625737,1875.0332,2659.3435
291,1747308759899240829,1747308759949372829,50.132,131.50148,8.401939,2679.8438,4742.9097
292,1747308760524858829,1747308760549858829,25.0,27.52587,1.7523168,1103.3412,1349.7386
293,1747308762096357829,1747308762131357829,35.0,60.033672,3.8312674,1755.6511,2190.959
294,1747308763467606829,1747308763502609829,35.003,54.793148,3.493064,1579.4758,2218.7146
295,1747308764158231829,1747308764208356829,50.125,50.204697,3.205385,1508.1005,2318.6157
296,1747308765279355829,1747308765299356829,20.000999999999998,17.263659,1.1033404,852.6126,908.49365
297,1747308765964980829,1747308766019980829,55.0,124.25836,7.9410806,2329.2014,3643.8818
298,1747308766205230829,1747308766225243829,20.012999999999998,19.219873,1.2278847,944.5515,1063.7241
299,1747308766480487829,1747308766535480829,54.992999999999995,164.97594,10.538846,3279.926,5409.7534
300,1747308766990855829,1747308767025980829,35.125,53.19859,3.3944497,1517.641,1956.7985
301,1747308767436354829,1747308767466359829,30.005,50.571068,3.2261486,1700.5111,2278.9202
302,1747308768732492829,1747308768757604829,25.112,28.854578,1.8408622,1169.9478,1362.7345
303,1747308769483228829,1747308769518228829,35.0,61.721527,3.9383678,1765.5142,2338.0503
304,1747308769808603829,1747308769843603829,35.0,51.03713,3.2553189,1484.5088,1909.9003
305,1747308770514228829,1747308770549228829,35.0,78.86658,5.0318975,2192.6597,2934.4292
306,1747308771314981829,1747308771344977829,29.996,40.735313,2.5981472,1373.8,1678.1577
307,1747308771795477829,1747308771815477829,20.0,18.356953,1.1707376,901.76904,970.10187
308,1747308772561105829,1747308772596227829,35.122,53.33149,3.400637,1511.5852,2017.4445
309,1747308773161732829,1747308773191727829,29.994999999999997,51.668438,3.3027408,1609.6708,2057.1323
310,1747308773311852829,1747308773361851829,49.998999999999995,119.23731,7.6219788,2564.6516,3627.3433
