timestamp [ns],gaze x [px],gaze y [px],azimuth [deg],elevation [deg]
1747308620788991829,745.5924682617188,706.5662841796875,-2.9103734305772804,-7.237318716128947
1747308620793991829,745.6611328125,709.072265625,-2.9066099963446033,-7.397361125934758
1747308620798990829,747.1914672851562,709.5286254882812,-2.8083987062689904,-7.426746980383632
1747308620803998829,751.4307861328125,710.2196044921875,-2.5361541961414518,-7.471509095858413
1747308620808991829,752.0028686523438,711.84716796875,-2.499762948243624,-7.575533520325128
1747308620813990829,762.6704711914062,709.4048461914062,-1.8137182574400332,-7.420846648654085
1747308620818990829,764.576171875,711.6760864257812,-1.6916013052693752,-7.566117787942324
1747308620823990829,768.61181640625,713.6138305664062,-1.4324502677807514,-7.690261889918901
1747308620828990829,769.4437866210938,718.6819458007812,-1.3796187545507028,-8.014056337282499
1747308620833990829,771.3468627929688,723.6946411132812,-1.2578159910818654,-8.334370068911099
1747308620839000829,773.2648315429688,725.6251220703125,-1.1346062086440054,-8.457811041408675
1747308620843990829,777.0381469726562,728.04296875,-0.8919432478117924,-8.61248044058478
1747308620848990829,778.2766723632812,729.5572509765625,-0.8123237326569538,-8.70925939323868
1747308620853990829,778.5396118164062,729.0297241210938,-0.7953507125694721,-8.675584478583598
1747308620858990829,779.2181396484375,731.6243896484375,-0.7518560679348308,-8.841320707822598
1747308620863990829,779.6563720703125,731.3352661132812,-0.7236064055276581,-8.822879646354634
1747308620868990829,780.3380737304688,731.87939453125,-0.6797361004886663,-8.8576617918672
1747308620873996829,780.0404052734375,732.0201416015625,-0.698922101867232,-8.866635419791805
1747308620878990829,777.3831176757812,736.6821899414062,-0.8705101141962924,-9.164186039787
1747308620883990829,776.4257202148438,737.6426391601562,-0.9323096658065677,-9.225450514245424
1747308620888990829,771.9494018554688,735.2326049804688,-1.2204958374569157,-9.071224479954799
1747308620893990829,772.5413818359375,733.6485595703125,-1.182151155456464,-8.970127941033278
1747308620898990829,768.8717651367188,728.0986328125,-1.417731210119374,-8.61540599123242
1747308620903990829,767.4556884765625,736.0860595703125,-1.5101778205354965,-9.12528795292055
1747308620908990829,768.422119140625,736.0180053710938,-1.4478933254941502,-9.121042585980868
1747308620913990829,768.2183227539062,731.1544799804688,-1.4602627980810434,-8.810479486745699
1747308620919115829,769.9425659179688,729.7434692382812,-1.3490195070690456,-8.720541099554053
1747308620924115829,771.421142578125,728.9300537109375,-1.2536973870123478,-8.668725833823277
1747308620929114829,774.5684814453125,731.09423828125,-1.0512779007698498,-8.807175039222244
1747308620934115829,771.4231567382812,730.0899047851562,-1.2537178775798579,-8.742792877080916
1747308620939114829,769.0772705078125,730.5460205078125,-1.4048563035339,-8.771709339635725
1747308620944114829,767.7748413085938,735.31298828125,-1.4894891775395278,-9.075962393090894
1747308620949114829,769.9689331054688,728.6774291992188,-1.3471685258039723,-8.652467578455628
1747308620954119829,770.477783203125,729.6256103515625,-1.3145338819496513,-8.713062328621271
1747308620959114829,771.594482421875,733.2137451171875,-1.243096933420488,-8.942284115153905
1747308620964114829,772.458251953125,728.7840576171875,-1.186904967118793,-8.659487803930032
1747308620969114829,771.9067993164062,730.2233276367188,-1.2225927055321097,-8.751354082869112
1747308620974114829,768.5997314453125,733.0513916015625,-1.435988305770818,-8.931641610639863
1747308620979114829,769.5408325195312,734.7423706054688,-1.3756162636970752,-9.039704203043923
1747308620984114829,768.6564331054688,733.54345703125,-1.4324092866457314,-8.96306672469464
1747308620989114829,769.4476928710938,732.4387817382812,-1.3812716603298458,-8.892605926987217
1747308620994114829,769.5629272460938,732.2583618164062,-1.373826754134532,-8.881096537587979
1747308620999114829,767.2744140625,725.9758911132812,-1.5202386891829254,-8.479693928016776
1747308621004114829,768.4907836914062,726.5745239257812,-1.4420330231862792,-8.518040132829114
1747308621009115829,771.9073486328125,724.1442260742188,-1.2218004035883883,-8.363128173166066
1747308621014114829,770.1467895507812,728.8165893554688,-1.3357416193225409,-8.661369980114452
1747308621019114829,770.0697021484375,730.090576171875,-1.3408779215783906,-8.742718149880446
1747308621024114829,765.7449340820312,736.7852172851562,-1.6205400171445625,-9.169738864337333
1747308621029114829,769.293212890625,736.19970703125,-1.3917901516516655,-9.13273082490006
1747308621034114829,772.2313232421875,731.2745971679688,-1.201828930455271,-8.818511867252075
1747308621039114829,772.0404663085938,731.2807006835938,-1.2141164407721239,-8.818886024148204
1747308621044114829,771.1785888671875,730.2018432617188,-1.2694819541842473,-8.749920811430341
1747308621049114829,771.7606201171875,730.1376342773438,-1.2319978760192172,-8.745869712570356
1747308621054238829,771.130615234375,730.158447265625,-1.2725691996890929,-8.747145587670298
1747308621059239829,771.9107666015625,733.2119750976562,-1.2227224791263398,-8.942198183719276
1747308621064238829,770.6820068359375,732.1825561523438,-1.3017341074450475,-8.876358190673473
1747308621069238829,771.4964599609375,733.677734375,-1.2494694999161098,-8.971903326842712
1747308621074238829,771.4652099609375,732.6647338867188,-1.2513478019378634,-8.907216082411367
1747308621079241829,771.6817016601562,732.7393798828125,-1.2374142160310373,-8.912001060377849
1747308621084238829,771.246337890625,732.94677734375,-1.2654862935197897,-8.92520685594106
1747308621089238829,770.0861206054688,729.222900390625,-1.3397031290411483,-8.687311689259491
1747308621094238829,770.512451171875,729.1343383789062,-1.3122389383885271,-8.681693926067714
1747308621099238829,768.7451782226562,736.8143310546875,-1.4271978523090116,-9.171918921953292
1747308621104238829,769.4752197265625,734.0584106445312,-1.379741697955763,-8.996026212590397
1747308621109238829,771.3074340820312,730.1140747070312,-1.2611764441535116,-8.744326744231422
1747308621114238829,771.2989501953125,731.3292846679688,-1.261879953638023,-8.821926109604313
1747308621119238829,772.0303955078125,731.6445922851562,-1.2148131200674652,-8.842122499525543
1747308621124238829,773.2044677734375,732.0040893554688,-1.139237076901274,-8.865173059731598
1747308621129238829,773.7876586914062,731.1865234375,-1.1015754138178238,-8.813010564993192
1747308621134238829,773.1797485351562,731.1593017578125,-1.140726058140337,-8.811225756270252
1747308621139243829,772.7199096679688,731.7178955078125,-1.1704100602732121,-8.846859186434987
1747308621144238829,771.4371948242188,735.5585327148438,-1.2535402926614374,-9.091990890291962
1747308621149238829,770.6300659179688,734.3846435546875,-1.3053882586510042,-9.016964646174788
1747308621154238829,771.6776123046875,735.104248046875,-1.2379879519213184,-9.063005419349667
1747308621159238829,775.1919555664062,733.2378540039062,-1.0113486148819553,-8.944104712150045
1747308621164238829,776.1649169921875,730.7520141601562,-0.9484289122477978,-8.785430470866995
1747308621169238829,773.9503173828125,732.8506469726562,-1.0912959791169545,-8.91928881125608
1747308621174237829,773.039306640625,734.6561279296875,-1.1501995305191446,-9.034505183789713
1747308621179238829,773.6742553710938,730.391845703125,-1.1087880935813572,-8.762254406681175
1747308621184378829,773.6142578125,727.7324829101562,-1.1123534523281038,-8.592421154310609
1747308621189363829,774.4293212890625,730.5682983398438,-1.0601844674475465,-8.77357910198444
1747308621194362829,773.5344848632812,731.677978515625,-1.1179405470691743,-8.844373978766646
1747308621199362829,771.78076171875,732.4063720703125,-1.2309938382112253,-8.890745522260273
1747308621204362829,772.2367553710938,732.8214111328125,-1.2016718361043606,-8.917285996470245
1747308621209362829,772.50830078125,733.4169921875,-1.1842548537208282,-8.955338580492619
1747308621214362829,773.5045776367188,732.7473754882812,-1.1199964340093482,-8.912659917989972
1747308621219362829,772.2471923828125,734.5371704101562,-1.2012210436191397,-9.026844801354631
1747308621224362829,771.5228271484375,733.891357421875,-1.2478029337586267,-8.985545717198967
1747308621229362829,772.8739624023438,733.1968383789062,-1.160670210516774,-8.941311013606906
1747308621234362829,770.4132690429688,735.240234375,-1.3194721087195704,-9.07157535838554
1747308621239362829,770.1943359375,734.2412719726562,-1.3334398455722467,-9.007770168117949
1747308621244362829,771.493408203125,734.9415893554688,-1.2498383301312905,-9.052603498825153
1747308621249362829,773.3048706054688,733.5360717773438,-1.1329533028648624,-8.963006755187347
1747308621254362829,774.6098022460938,733.2111206054688,-1.0488531836144954,-8.942355981191936
1747308621259362829,775.93701171875,733.3366088867188,-0.9633665359626157,-8.950462599862801
1747308621264362829,775.3797607421875,732.7348022460938,-0.9991977083485026,-8.911994596554939
1747308621269362829,775.7130737304688,731.8883056640625,-0.9776416313279424,-8.857962979429733
1747308621274362829,779.2445678710938,729.0535278320312,-0.7499572753455673,-8.67714157835588
1747308621279364829,778.3599853515625,726.972412109375,-0.8067502982942234,-8.544184919642458
1747308621284362829,778.5534057617188,725.8034057617188,-0.7942032407889099,-8.469534853692947
1747308621289362829,778.2127685546875,725.8148803710938,-0.8161281480246508,-8.470249127412028
1747308621294362829,778.8491821289062,725.0105590820312,-0.7751060318695543,-8.418912842256422
1747308621299361829,778.5154418945312,725.0582885742188,-0.7965869768092444,-8.421943542639342
1747308621304361829,778.4769287109375,725.0025634765625,-0.799066335477959,-8.418383148500789
1747308621309361829,779.4816284179688,724.7797241210938,-0.7343776138487682,-8.404201666345118
1747308621314361829,781.4610595703125,724.9542846679688,-0.6069877556388604,-8.415440404842725
1747308621319487829,781.8939208984375,723.5062255859375,-0.5790454517443383,-8.322969036462249
1747308621324369829,779.2344360351562,724.0701904296875,-0.7502373131015379,-8.358871980036708
1747308621329495829,778.5614013671875,723.555419921875,-0.7935133916827386,-8.325959326653644
1747308621334486829,778.3964233398438,723.899658203125,-0.8041616565987885,-8.347936467876332
1747308621339486829,777.4412841796875,721.8828125,-0.865462604399653,-8.219066634139965
1747308621344486829,778.2708129882812,723.4857177734375,-0.8122076194410636,-8.321492065025664
1747308621349486829,779.8916015625,720.6332397460938,-0.7077125553290384,-8.139377100603904
1747308621354486829,781.2484741210938,725.0291748046875,-0.620675454735566,-8.420214531396368
1747308621359489829,780.8248291015625,724.3460083007812,-0.6479005887672368,-8.376562394386154
1747308621364486829,782.2802124023438,721.7363891601562,-0.5540947707062817,-8.209939745352976
1747308621369486829,783.0814819335938,719.9195556640625,-0.5024517103918152,-8.093917291024747
1747308621374486829,782.7518310546875,722.0645141601562,-0.523761900602255,-8.230915607718432
1747308621379486829,784.1734619140625,721.3831787109375,-0.43225785629159424,-8.187441127472734
1747308621384486829,783.5260009765625,718.40576171875,-0.47378540644527173,-7.9972336496482415
1747308621389486829,783.4833984375,717.7024536132812,-0.4764969915457668,-7.952306292784801
1747308621394486829,782.4803466796875,721.8433227539062,-0.5412198641208077,-8.216777257735322
1747308621399486829,779.4068603515625,721.1158447265625,-0.7389333500251667,-8.170180449430227
1747308621404486829,784.8899536132812,722.7432250976562,-0.38620189071819827,-8.274333502631672
1747308621409486829,800.2051391601561,723.3421630859375,0.5994012367038117,-8.312545130234673
1747308621414486829,823.1207885742186,718.125,2.073028210512403,-7.977574302158064
1747308621419486829,823.9793701171875,719.956298828125,2.1286396107346466,-8.094423065654613
1747308621424486829,824.8723754882812,724.9400024414062,2.1872016526783358,-8.412559885446706
1747308621429485829,827.8475952148436,721.1513671875,2.3777639305216915,-8.170231104431666
1747308621434496829,828.4193725585939,718.7515258789062,2.413970763311929,-8.0169033133926
1747308621439485829,828.0421752929688,718.8570556640625,2.389730421947554,-8.023694957568146
1747308621444485829,824.192626953125,723.919677734375,2.1432288948017937,-8.347495076779985
1747308621449485829,822.6690063476562,724.5712890625,2.0453113028604912,-8.389296179343454
1747308621454610829,821.7341308593751,726.9381713867188,1.9856359400820895,-8.54055000612729
1747308621459613829,826.1254272460939,724.2514038085938,2.267688601857766,-8.36842186065417
1747308621464610829,825.7821044921876,723.9601440429688,2.2455246380010747,-8.34987004735539
1747308621469610829,827.6029663085938,725.5449829101562,2.3630995143736744,-8.450814116120316
1747308621474610829,826.8332519531249,724.1289672851562,2.313211812675901,-8.360506673447384
1747308621479610829,827.2150268554688,727.4205322265625,2.3385927956316683,-8.570623494589455
1747308621484610829,826.9297485351564,724.4299926757812,2.319495586712313,-8.379714308904022
1747308621489617829,825.2365112304688,726.25146484375,2.2109433902333,-8.496253242375504
1747308621494610829,825.2775878906251,725.0430908203125,2.213306635686125,-8.419088630234853
1747308621499610829,824.8071899414062,723.8096923828125,2.182755199528658,-8.340392015472368
1747308621504610829,824.9058227539062,723.6740112304688,2.1890662943217496,-8.33171540756095
1747308621509610829,823.7142333984375,727.3201904296875,2.1131965530212478,-8.564694988186343
1747308621514610829,825.4774169921875,728.593505859375,2.2270079951611703,-8.645761506567915
1747308621519610829,825.5516357421875,718.37451171875,2.229432712316525,-7.993209834392024
1747308621524621829,824.7890625,724.9937133789062,2.181853614558216,-8.416000767987148
1747308621529610829,825.9520874023438,721.8939819335938,2.2559884878095344,-8.21791013944912
1747308621534610829,826.3980712890625,721.4788208007812,2.2845864898643775,-8.19133927742396
1747308621539610829,827.5171508789062,716.845458984375,2.35549751382745,-7.895304492994842
1747308621544619829,828.56298828125,717.1831665039062,2.4228295186654356,-7.916728632369476
1747308621549610829,829.25146484375,720.1947631835938,2.4678472954849897,-8.108947121345146
1747308621554609829,828.8653564453124,720.295166015625,2.4430332182303336,-8.115413453317915
1747308621559609829,828.935791015625,721.4667358398438,2.4478553317843623,-8.190214911285446
1747308621564609829,828.7744750976562,722.1207885742188,2.4376373687860236,-8.232002129758895
1747308621569609829,828.7836303710938,721.9271850585938,2.4381769537304545,-8.219637897043528
1747308621574609829,828.9730224609375,718.8963623046875,2.449617520590226,-8.026075134191201
1747308621579609829,830.402587890625,720.4821166992188,2.5419685083579684,-8.127127102776576
1747308621584612829,828.1724243164061,726.2432250976562,2.3999278943783833,-8.49531429725576
1747308621589734829,825.5523071289062,727.0611572265625,2.2314612785000185,-8.547910097964069
1747308621594734829,827.61669921875,724.821044921875,2.3638030238581855,-8.404587074079553
1747308621599734829,827.1019287109375,726.0890502929688,2.3309839648962742,-8.485624150906142
1747308621604734829,825.8455810546875,726.969970703125,2.250319430798424,-8.542047602172833
1747308621609734829,826.4840698242188,727.8980102539062,2.291648905466171,-8.601214322755682
1747308621614734829,825.1219482421876,724.9441528320312,2.203266257606206,-8.412792198408429
1747308621619734829,825.0231933593749,723.7708740234375,2.1966409741112933,-8.33788534814513
1747308621624734829,825.2236328125001,723.1089477539062,2.209392937291707,-8.295590268029438
1747308621629734829,825.2213134765625,726.0428466796875,2.2099188618577985,-8.482933856003458
1747308621634734829,826.6554565429689,725.3998413085938,2.30207860432878,-8.441680134170946
1747308621639734829,826.1341552734375,722.6343994140625,2.2678730169653565,-8.265166523828924
1747308621644744829,825.3163452148436,722.4552612304688,2.215205428275388,-8.25383590804524
1747308621649734829,824.9846801757812,721.2388916015625,2.193594709741468,-8.176203748318246
1747308621654737829,823.8485107421875,720.0462036132812,2.120238478055531,-8.100180675008145
1747308621659734829,826.5062866210938,721.4468994140625,2.291539622439451,-8.189286701419352
1747308621664734829,827.2203369140625,719.1722412109375,2.3369467200416953,-8.043934208128137
1747308621669734829,827.8024291992188,716.2696533203125,2.373706798154704,-7.858493822739679
1747308621674745829,815.6151733398439,714.603515625,1.5897240248423006,-7.75342693802164
1747308621679733829,788.9221801757812,727.134765625,-0.12676398528443392,-8.55490411854181
1747308621684733829,779.552001953125,742.3291625976562,-0.7311879155063723,-9.524867697107474
1747308621689738829,770.4359130859375,741.0458374023438,-1.3188573916942694,-9.442244666493252
1747308621694733829,763.3126220703125,740.7157592773438,-1.7780578397833966,-9.420377395241234
1747308621699733829,760.4052124023438,744.0921020507812,-1.966256872173928,-9.635508999980333
1747308621704733829,761.2066040039062,743.9588623046875,-1.9145455099677615,-9.627117510430947
1747308621709733829,762.5382690429688,743.5962524414062,-1.828580749073981,-9.604153117691945
1747308621714733829,762.1712646484375,745.071533203125,-1.8525683734390657,-9.698273740490633
1747308621719737829,763.5196533203125,740.6673583984375,-1.7647048199560218,-9.417313887589518
1747308621724872829,763.2730712890625,741.4949340820312,-1.7807694248838917,-9.470112704895476
1747308621729858829,761.6216430664062,742.4480590820312,-1.8874501495303209,-9.530736575208188
1747308621734859829,762.4005737304688,741.335205078125,-1.8369887119422668,-9.45980248876374
1747308621739858829,761.85107421875,741.9546508789062,-1.872546676761353,-9.499271467330018
1747308621744858829,760.4755859375,743.155517578125,-1.961509890700769,-9.575736176840289
1747308621749858829,759.953857421875,744.405029296875,-1.9954422704973924,-9.65541737592097
1747308621754858829,760.7361450195312,744.4996948242188,-1.9450081536660182,-9.661572933567063
1747308621759858829,761.1688232421875,745.1986694335938,-1.9172570950682566,-9.706248995223033
1747308621764858829,762.973876953125,745.1659545898438,-1.800816030097879,-9.70440802199783
1747308621769858829,762.3303833007812,745.4569702148438,-1.8423913915757468,-9.722897308088232
1747308621774858829,762.7369384765625,742.5361938476562,-1.8155487481375967,-9.536512340257168
1747308621779861829,760.3239135742188,738.86865234375,-1.9703276649192556,-9.302064862900732
1747308621784858829,760.8412475585938,739.3163452148438,-1.9370783040396335,-9.330715694880903
1747308621789858829,757.9658203125,742.9165649414062,-2.123296581570861,-9.56011221586094
1747308621794858829,757.4081420898438,742.0386962890625,-2.159038961497538,-9.503991649616703
1747308621799858829,759.4747924804688,739.3017578125,-2.025153593386948,-9.329592713739823
1747308621804861829,758.317138671875,742.3297729492188,-2.1004974101213585,-9.522710872304712
1747308621809858829,760.46533203125,739.45947265625,-1.961345966160689,-9.339800729194197
1747308621814857829,758.0972900390625,745.171875,-2.1153667319444764,-9.704083629994305
1747308621819860829,759.088623046875,746.776123046875,-2.0518118217175076,-9.806628491942664
1747308621824857829,759.8541870117188,745.6548461914062,-2.002163176640685,-9.735176596962788
1747308621829859829,760.0799560546875,741.5505981445312,-1.986651817035586,-9.473233513236307
1747308621834857829,760.8121948242188,737.4678955078125,-1.9385536249003563,-9.212709036447565
1747308621839857829,758.3690795898438,738.9614868164062,-2.096344655105991,-9.307710906323493
1747308621844857829,758.190185546875,738.6011352539062,-2.1077920521549323,-9.284681041530442
1747308621849860829,759.2160034179688,739.8594970703125,-2.0419626889343494,-9.365159358109665
1747308621854982829,759.081298828125,740.450439453125,-2.050787293342006,-9.402861939596884
1747308621859982829,760.0078125,739.19677734375,-1.9907772512942739,-9.322966759247985
1747308621864982829,759.732666015625,738.67919921875,-2.0083923091637366,-9.289887761296761
1747308621869982829,758.1434936523438,737.659912109375,-2.1105787693362976,-9.224589963991368
1747308621874982829,760.2069091796875,737.31787109375,-1.977526684304449,-9.20304857525735
1747308621879982829,758.299560546875,737.647705078125,-2.100517900688869,-9.223833839772682
1747308621884982829,757.951416015625,736.7169799804688,-2.1227365060589203,-9.164366746034153
1747308621889982829,759.6409301757812,736.868896484375,-2.013904271823937,-9.174307606723398
1747308621894992829,759.0719604492188,738.1881103515625,-2.050869255612046,-9.258443898039129
1747308621899982829,760.8353881835938,739.6708374023438,-1.9375359267140244,-9.353344257642812
1747308621904985829,758.4351806640625,740.0617065429688,-2.0923489944415334,-9.377952384269282
1747308621909997829,759.6524047851562,741.841552734375,-2.014286762417458,-9.491744677295769
1747308621914985829,756.7196044921875,746.7439575195312,-2.204637304396543,-9.804201640867987
1747308621919982829,758.3797607421875,740.992431640625,-2.0961397494308907,-9.43735560273147
1747308621924982829,759.965576171875,737.8134155273438,-1.9931883080712882,-9.234650889713699
1747308621929981829,762.4004516601562,730.9864501953125,-1.8349123344345828,-8.799106713174773
1747308621934981829,758.02099609375,729.2593994140625,-2.1165620150492286,-8.688261555338448
1747308621939984829,752.7376098632812,730.960693359375,-2.4571630583902544,-8.796081435128288
1747308621944981829,751.9105224609375,727.2122192382812,-2.509441326297532,-8.55663673889871
1747308621949984829,752.9093627929688,725.7176513671875,-2.4447730952358513,-8.461374349753445
1747308621954981829,752.77783203125,726.0750732421875,-2.453324492076707,-8.484173994977889
1747308621959981829,752.196044921875,724.912109375,-2.4904738909724067,-8.409830015556233
1747308621964981829,751.5689697265625,728.5841674804688,-2.531782875072644,-8.644170539181914
1747308621969984829,752.5532836914062,728.256591796875,-2.4683304176832253,-8.623417256284705
1747308621974981829,752.105712890625,729.3309936523438,-2.4974270235474796,-8.691936806377608
1747308621979981829,750.2114868164062,730.7303466796875,-2.619762541771578,-8.780951514312468
1747308621985106829,750.6106567382812,727.0684204101562,-2.593070162495168,-8.547242665892124
1747308621990106829,752.051513671875,729.656494140625,-2.5009992124833964,-8.712708520681522
1747308621995106829,751.43701171875,736.0078735351562,-2.5423013663944634,-9.118053300485744
1747308622000106829,753.7413330078125,738.5587158203125,-2.3945097331337273,-9.281270591115787
1747308622005106829,753.8712768554688,738.4904174804688,-2.3861154306437817,-9.276932796010092
1747308622010106829,754.705078125,735.051513671875,-2.33149440785119,-9.057550115388326
1747308622015106829,754.3082275390625,731.968017578125,-2.356274334159996,-8.860640861934092
1747308622020117829,753.5017700195312,732.2437133789062,-2.4082862246896433,-8.878113099739004
1747308622025111829,752.2430419921875,733.0565185546875,-2.4895654758127947,-8.929793795418547
1747308622030116829,752.7406616210938,732.1263427734375,-2.457272341416975,-8.870496393717184
1747308622035106829,753.557861328125,733.694580078125,-2.405048715023057,-8.97074283004724
1747308622040111829,752.9019165039062,732.0411376953125,-2.4468631331218753,-8.865083301885699
1747308622045122829,753.9951782226562,732.2313842773438,-2.3765053544815737,-8.877404567631874
1747308622050122829,754.2196044921875,732.2722778320312,-2.362059504386997,-8.880051324929594
1747308622055105829,752.7527465820312,730.9276733398438,-2.4561795111497724,-8.793976034026855
1747308622060109829,752.50048828125,732.520751953125,-2.472845172724604,-8.89563489100791
1747308622065105829,751.3086547851562,735.8006591796875,-2.550511253776819,-9.104803781521102
1747308622070105829,752.10546875,734.1417846679688,-2.498724759489782,-8.999049239857452
1747308622075105829,751.9955444335938,734.4681396484375,-2.5058896279291254,-9.019863415089196
1747308622080105829,754.060791015625,732.8851318359375,-2.372448222114586,-8.919150079612187
1747308622085105829,753.375,733.1573486328125,-2.416687357368759,-8.936417708030767
1747308622090105829,753.3776245117188,732.38623046875,-2.416318527153578,-8.887190966875917
1747308622095105829,752.9483032226562,731.6044311523438,-2.443762227238689,-8.83721209354621
1747308622100105829,752.2962036132812,730.0337524414062,-2.485344418905727,-8.736833398007144
1747308622105105829,753.6806640625,735.8358154296875,-2.3976994314761235,-9.107450592120951
1747308622110105829,756.0525512695312,734.8270263671875,-2.2446280619869676,-9.043430570394605
1747308622115105829,755.4321899414062,735.9580688476562,-2.2848783667658528,-9.115537085603183
1747308622120230829,758.1190185546875,746.953125,-2.1144105054606745,-9.81777540467456
1747308622125230829,764.4248046875,742.5625,-1.7067165139026135,-9.538406969194767
1747308622130118829,766.1705322265625,738.8357543945312,-1.593471977463802,-9.300701214038702
1747308622135230829,773.6241455078125,740.8790283203125,-1.1132755278660555,-9.431877377054697
1747308622140230829,772.7138671875,739.2974243164062,-1.1717556075397046,-9.330824075872965
1747308622145230829,772.1784057617188,739.6565551757812,-1.2063231949291393,-9.353707255129649
1747308622150230829,775.2640991210938,743.7074584960938,-1.0078583882160788,-9.612582447176631
1747308622155230829,774.4221801757812,742.2236938476562,-1.0619808071992598,-9.517790050817256
1747308622160230829,774.5765380859375,740.9716186523438,-1.051878957416811,-9.437864813521628
1747308622165230829,775.66015625,743.7012329101562,-0.9823134807202311,-9.61221402100796
1747308622170229829,776.7117309570312,736.7694091796875,-0.9137861927774932,-9.169712714337933
1747308622175230829,777.4854125976562,738.7191162109375,-0.8641102269439904,-9.294252679440703
1747308622180229829,774.8668823242188,738.7977294921875,-1.0329115220916856,-9.299091375597822
1747308622185230829,775.6537475585938,738.6387939453125,-0.9821700467476608,-9.289001016402427
1747308622190241829,774.5921020507812,743.4285888671875,-1.0511686177431296,-9.594726601432852
1747308622195229829,773.8786010742188,743.1021728515625,-1.0971426210464854,-9.573831104103446
1747308622200232829,773.4271850585938,737.8406982421875,-1.1255971891287586,-9.23787394625757
1747308622205236829,773.154541015625,736.19287109375,-1.142959529998931,-9.132639120181516
1747308622210229829,774.202880859375,737.4571533203125,-1.0755523930800752,-9.213446751890556
1747308622215231829,773.912109375,741.8198852539062,-1.0948203567286812,-9.491969415161346
1747308622220229829,774.43896484375,740.8455200195312,-1.0607377127703175,-9.429803101092247
1747308622225240829,774.6747436523438,738.0560302734375,-1.0452126927868786,-9.251720231666912
1747308622230229829,775.2286987304688,737.8383178710938,-1.0094839732385419,-9.237860849104932
1747308622235229829,773.010986328125,742.3966674804688,-1.1530067382680198,-9.52871792006827
1747308622240229829,772.8930053710938,740.555419921875,-1.1603696821932934,-9.411156695973597
1747308622245238829,773.3102416992188,740.1867065429688,-1.133424585917593,-9.387650388500655
