fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px]
96,1747308665485520829,1747308665995880829,510.35999999999996,691.16254,672.0732
97,1747308666031005829,1747308666206129829,175.124,670.9426,714.87695
98,1747308666286253829,1747308666391252829,104.999,499.02502,897.4051
99,1747308666461376829,1747308666566501829,105.125,567.3126,761.28845
100,1747308666666500829,1747308666756625829,90.125,216.80057,998.8904
101,1747308666791627829,1747308666921748829,130.12099999999998,215.83234,1027.2697
102,1747308666956876829,1747308667176996829,220.11999999999998,309.0162,1065.72
103,1747308667392244829,1747308667607367829,215.123,998.82477,611.7062
104,1747308667682492829,1747308667782616829,100.124,917.00574,617.8635
105,1747308667907740829,1747308668157867829,250.12699999999998,871.90125,605.4767
106,1747308668217987829,1747308668393111829,175.124,1114.3683,705.16187
107,1747308668458235829,1747308668658359829,200.124,803.2917,597.1401
108,1747308668693483829,1747308669148855829,455.37199999999996,840.49774,517.78375
109,1747308669218854829,1747308669369103829,150.249,889.39905,548.34467
110,1747308669479102829,1747308669894599829,415.49699999999996,936.69147,590.4643
111,1747308669969598829,1747308670284846829,315.248,609.2906,549.15027
112,1747308670409970829,1747308670800341829,390.371,693.37775,526.40625
113,1747308670955465829,1747308671330848829,375.383,707.09894,508.783
114,1747308671385962829,1747308671656210829,270.248,925.0926,554.6049
115,1747308671756209829,1747308671936457829,180.248,932.73016,562.0862
116,1747308671966457829,1747308672261705829,295.248,959.6319,555.9609
117,1747308672281712829,1747308672942325829,660.6129999999999,959.6091,542.19965
118,1747308672967336829,1747308674038449829,1071.113,925.62585,575.71063
119,1747308674073440829,1747308674318704829,245.26399999999998,867.38257,608.002
120,1747308674358688829,1747308674588949829,230.261,748.04926,586.23737
121,1747308674714060829,1747308675614803829,900.7429999999999,674.27344,629.57166
122,1747308675719927829,1747308675925186829,205.259,1131.7476,778.6937
123,1747308675960191829,1747308676095299829,135.108,1060.0724,715.03625
124,1747308676150298829,1747308676270425829,120.127,835.3589,675.72723
125,1747308676325552829,1747308676610803829,285.251,976.87695,697.6061
126,1747308676635795829,1747308676785918829,150.123,930.83704,706.21124
127,1747308676841043829,1747308676941042829,99.999,706.53253,647.13367
128,1747308676986166829,1747308677126295829,140.129,957.54224,749.90405
129,1747308677156290829,1747308677306414829,150.124,910.4451,730.20306
130,1747308677376538829,1747308677736785829,360.24699999999996,715.93317,682.3486
131,1747308677771797829,1747308677992033829,220.236,745.50696,620.13806
132,1747308678092158829,1747308678232281829,140.123,764.727,670.29224
133,1747308678387405829,1747308678907901829,520.496,785.66046,671.7409
134,1747308678942901829,1747308679153149829,210.248,747.58185,635.984
135,1747308679198160829,1747308679603523829,405.363,884.8104,594.89154
136,1747308679648645829,1747308680544387829,895.742,761.02234,643.616
137,1747308680579512829,1747308681785628829,1206.116,738.29785,667.3712
138,1747308681815627829,1747308681980751829,165.124,718.15045,614.4122
139,1747308682010751829,1747308682180999829,170.248,739.07806,630.8261
140,1747308682260998829,1747308682426122829,165.124,1148.8202,690.7834
141,1747308682501247829,1747308682711495829,210.248,814.2566,651.2897
142,1747308682746495829,1747308683361990829,615.495,841.61035,603.7039
143,1747308683562238829,1747308683677362829,115.124,787.548,520.47656
144,1747308683712362829,1747308684162733829,450.371,795.6147,601.534
145,1747308684202858829,1747308684718354829,515.496,710.15686,619.7816
146,1747308684758356829,1747308685579096829,820.74,744.32495,602.287
147,1747308685619096829,1747308685899356829,280.26,767.83105,585.5605
148,1747308685934469829,1747308686414842829,480.373,792.24884,616.4078
149,1747308686444965829,1747308686625088829,180.123,748.9781,575.80615
150,1747308686655088829,1747308686930336829,275.248,735.35596,556.73224
151,1747308686965335829,1747308687721079829,755.7439999999999,779.082,607.3937
152,1747308687766079829,1747308687911327829,145.248,914.55725,673.44666
153,1747308687961327829,1747308688126451829,165.124,767.61664,593.71625
154,1747308688186575829,1747308688411698829,225.123,1023.05536,516.8853
155,1747308688466823829,1747308689958186829,1491.3629999999998,753.0936,595.44415
156,1747308689983186829,1747308692030044829,2046.858,783.4835,526.1809
157,1747308692045169829,1747308693891779829,1846.61,772.6467,528.94855
158,1747308693976903829,1747308694152026829,175.123,1114.3971,589.7379
159,1747308694227151829,1747308695128018829,900.867,714.6932,546.418
160,1747308695153018829,1747308695828638829,675.62,749.2958,557.1735
161,1747308695868637829,1747308696058886829,190.249,833.92615,494.3221
162,1747308696103885829,1747308696264009829,160.124,701.4027,485.3956
163,1747308696309142829,1747308696884629829,575.487,842.12146,462.82504
164,1747308696929629829,1747308697400125829,470.496,669.4796,468.86142
165,1747308697440135829,1747308699181735829,1741.6,698.2915,626.46796
166,1747308699221743829,1747308699346859829,125.116,740.0258,678.045
167,1747308699406986829,1747308699567112829,160.126,931.81146,749.6517
168,1747308699612106829,1747308699782355829,170.249,867.95703,641.5594
169,1747308699807355829,1747308700482974829,675.6189999999999,881.7337,644.7272
170,1747308700542974829,1747308700643098829,100.124,788.6865,797.6285
171,1747308700743229829,1747308700888359829,145.13,763.0575,849.8494
172,1747308700923346829,1747308701243718829,320.37199999999996,817.0077,721.9511
173,1747308701338718829,1747308701598965829,260.247,914.03375,664.98785
174,1747308701654090829,1747308701844213829,190.123,706.81555,680.71906
175,1747308701884213829,1747308702119461829,235.248,860.1273,716.1579
176,1747308702169463829,1747308702304584829,135.12099999999998,756.12646,694.3576
177,1747308702344709829,1747308702644956829,300.247,731.09467,664.6287
178,1747308702795080829,1747308702940204829,145.124,662.3866,804.81934
179,1747308702980216829,1747308703415700829,435.484,750.3178,734.2576
180,1747308703445703829,1747308703936196829,490.493,723.87823,671.67004
181,1747308703971195829,1747308704311568829,340.373,730.9602,712.6745
182,1747308704331567829,1747308704841938829,510.371,750.9814,686.47644
